0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,,Number of rooms,Number of rooms,Number of rooms,Units,,1212,1212,1212,1212,1068,1162,1276,1153,1339,1307,1244,1250,1596,1593,1506,1570,2571,2326,2626,2650,2678,2724,2989,3075,3298,3389,3038,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,2284,2284,2284,2284,1989,2193,2585,2283,2436,2490,2377,2520,3296,2778,3309,3004,5364,5441,5382,5383,5439,5303,6169,6365,6658,6881,6185,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,49.84,43.58,47.76,52.83,55.17,45.34,54.27,46.77,44.69,43.41,48.92,51.25,40.52,37.15,23.79,23.65,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,45.03,40.93,36.89,34.32,36.89,46.99,42.00,33.30,33.60,..,46.71,33.64,25.47,44.76,37.69,38.05,34.41,37.51,35.20,36.21,34.46,40.51,43.06,27.15,27.70,17.78,16.70,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,1.00,1.10,1.10,1.00,1.00,0.80,1.00,0.83,1.00,..,1.08,0.97,0.77,1.23,1.29,1.27,0.90,1.27,0.91,0.92,0.88,0.94,1.07,0.96,1.09,1.37,1.66,
ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,426,493,574,595,607,666,700,738,1051,1216,1555,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,2652,2445,6053,2357,..,6499,9676,2979,3497,..,3387,9836,12791,13683,14118,18128,19025,19998,20234,22285,23506,25452,36280,41970,47481,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,4524,4273,8279,4042,..,9406,12570,4494,5419,..,5170,12605,16619,17217,17936,21937,24083,24978,25294,26345,27147,30997,46398,53675,59353,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,51.80,60.50,..,..,..,40.00,45.20,..,60.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,4.40,5.30,2.36,4.55,..,2.06,2.40,..,3.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Accommodation  survey.
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Accommodation  survey.
,,Number of rooms,Number of rooms,Number of rooms,Units,,5009,5286,5437,5745,5777,5283,5520,5899,6116,6677,6713,8091,8244,9525,9826,10066,10211,10138,10197,10435,9630,9696,9744,10012,10329,6411,7104,1/ Accommodation  survey.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,12712,13283,13592,14717,14214,13463,13075,14559,14206,15680,16536,17091,18765,22352,22823,23536,23851,23539,23845,24977,24163,22457,22530,22308,23277,14559,15470,1/ Accommodation  survey.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,53.80,53.50,54.40,55.90,60.90,48.70,46.50,55.60,55.90,61.30,64.40,56.20,49.70,45.20,42.20,45.80,47.40,47.20,48.80,50.20,55.20,51.70,52.50,53.90,57.50,23.50,15.00,1/ Accommodation  survey.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,49.80,45.20,38.20,36.20,41.80,43.60,43.40,44.60,45.70,47.30,45.90,47.60,49.00,54.70,20.10,12.30,1/ Accommodation  survey.
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Accommodation  survey.
FINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,936,958,958,978,1004,1011,1016,971,992,961,922,916,937,916,892,841,830,839,828,785,777,772,787,788,794,791,781,
,,Number of rooms,Number of rooms,Number of rooms,Units,,49835,51453,51889,53033,54063,54855,55268,54916,55767,53537,54354,54936,54731,54844,55146,54903,55892,57009,56566,56688,56723,56982,59104,59882,60444,61005,62377,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,105030,108418,109391,112289,114892,117322,118473,117870,120051,120086,117605,119045,118888,119182,120175,119395,122182,123979,123655,123305,122855,124333,129487,132740,133515,135489,138638,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,47.80,49.90,51.60,51.90,47.60,49.90,51.40,51.29,50.03,50.28,51.13,52.90,54.76,54.28,55.04,37.23,39.41,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,45.00,45.70,46.80,48.00,47.90,47.80,48.00,47.00,46.80,46.30,36.70,38.30,39.70,40.00,37.20,38.80,39.80,40.03,38.97,38.25,38.92,40.25,41.50,41.14,41.99,28.79,31.35,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,1.84,1.86,1.88,2.00,1.90,1.90,1.88,1.90,1.89,1.83,1.84,1.82,1.82,1.81,1.80,1.79,1.77,1.77,1.76,1.75,1.74,1.73,1.74,1.74,1.74,1.81,1.81,
FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Number of establishments,Number of establishments,Number of establishments,Units,,20212,19912,19563,18809,18563,18474,18468,18373,18217,18309,18085,17877,17721,17487,17283,17070,17000,17171,17370,18358,18205,18172,17840,17960,17733,17416,17056,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Number of rooms,Number of rooms,Number of rooms,Units,,611537,608353,600883,586944,583578,589174,600492,603619,603279,615402,613798,612424,614532,612082,612465,611609,614684,619322,638887,653878,645595,648871,641265,654478,657821,652197,652953,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,1223074,1216706,1201766,1173888,1167156,1178348,1200984,1207238,1206558,1230804,1227596,1224848,1229064,1224164,1224930,1223218,1229368,1238644,1277774,1307756,1291190,1297742,1282530,1308956,1315642,1306292,1306585,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,2/ 3/,49.50,50.30,53.50,55.60,58.20,60.30,60.50,60.30,58.40,58.60,59.10,60.40,61.87,61.38,58.06,59.38,60.99,60.26,59.63,59.05,58.95,58.17,60.94,62.20,62.37,41.43,45.20,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
,,Average length of stay,Average length of stay,Average length of stay,Nights,2/,..,..,..,1.86,1.87,1.88,1.89,1.90,1.87,1.82,1.81,1.82,1.84,1.84,1.81,1.82,1.82,1.82,1.81,1.79,1.78,1.76,1.76,1.77,1.80,1.80,1.80,"1/ Number of hotels;  Source: INSEE, DGE.  2/ Source: INSEE, DGE, regional partners. Hotel occupancy survey (EFH);  stays for all purposes.  3/ Net room occupancy rate."
FRENCH  GUIANA,FRENCH  GUIANA,FRENCH  GUIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,27,25,24,..,24,..,31,..,..,27,30,29,29,29,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,1302,..,..,1255,..,..,..,1184,1184,1193,1169,..,1180,..,1259,..,..,1342,1533,1494,1516,1530,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2148,..,..,..,..,..,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,48.60,49.90,55.90,50.10,..,..,46.90,50.90,52.10,53.70,57.50,62.00,66.00,..,..,..,52.27,47.62,46.10,50.03,57.55,59.43,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.50,3.00,3.10,2.90,2.60,2.80,2.30,2.30,2.60,2.50,2.50,..,..,
FRENCH  POLYNESIA,FRENCH  POLYNESIA,FRENCH  POLYNESIA,FRENCH  POLYNESIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Number of establishments,Number of establishments,Number of establishments,Units,1/,..,..,..,..,..,..,294,306,302,308,306,310,309,321,335,326,331,339,339,341,337,337,357,328,337,342,332,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Number of rooms,Number of rooms,Number of rooms,Units,1/,3044,3075,3012,3021,3396,3357,4184,4574,4381,4606,4484,4733,4649,4696,4828,4381,4469,4206,4141,4146,4146,4146,4242,4028,4030,4172,3901,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,1/,6088,6150,6024,6042,..,..,..,..,11359,11825,11464,12192,11382,11681,12081,11778,12211,11501,11139,11122,11198,11198,11616,10533,10541,10892,10422,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,2/,59.97,53.28,54.07,59.20,57.51,60.27,58.76,59.12,58.50,57.90,65.60,62.00,57.40,53.30,46.50,52.30,53.70,56.80,60.50,63.10,64.60,68.60,68.50,68.70,69.20,44.30,44.90,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
,,Average length of stay,Average length of stay,Average length of stay,Nights,3/,9.63,9.07,9.45,9.20,9.20,10.56,10.46,10.74,10.84,10.44,10.80,11.11,11.20,11.40,11.60,11.80,11.70,11.70,12.00,12.73,12.30,13.80,14.00,13.80,14.90,18.20,20.90,1/ Hotels and guest  houses; at 31st December of each year.  2/ Rooms in hotels.  3/ Days.
GABON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,2450,2450,2450,2450,2450,2450,2450,2450,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,60.00,60.00,60.00,60.00,70.00,70.00,70.00,70.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
GAMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,35,..,..,..,33,..,..,..,..,..,..,..,..,47,49,49,49,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,..,..,..,..,..,..,..,3066,3992,5004,..,4793,..,..,..,..,..,..,..,..,3886,3918,4142,4142,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,5731,5734,5914,5912,5912,..,..,..,..,..,..,7984,8719,..,6743,..,..,..,..,..,..,..,..,7366,7422,7757,7757,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,43.60,37.60,59.30,43.20,55.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,13.31,13.00,12.76,12.90,12.90,12.90,12.90,..,..,14.00,7.00,7.00,7.00,..,..,..,..,..,..,..,..,..,..,..,..,
GEORGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Survey of  hotels and similar establishments.
,,Number of establishments,Number of establishments,Number of establishments,Units,1/,..,..,..,211,212,208,230,236,226,235,250,374,339,353,386,462,616,777,836,986,1225,1496,1595,1639,1682,1054,1776,1/ Source: Survey of  hotels and similar establishments.
,,Number of rooms,Number of rooms,Number of rooms,Units,1/,..,..,..,8788,8913,8732,9381,9550,9614,9680,6757,10022,8311,8582,9393,10564,12901,14463,15351,18248,23097,28437,30657,33186,35101,26897,43087,1/ Source: Survey of  hotels and similar establishments.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,1/,..,..,..,17349,17815,17191,18847,19757,19152,19316,18162,20488,16704,17573,18741,21086,25833,33029,32165,38425,48457,61415,66954,72621,76298,57874,87797,1/ Source: Survey of  hotels and similar establishments.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.00,57.00,62.10,63.30,56.70,..,..,1/ Source: Survey of  hotels and similar establishments.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,30.00,33.70,34.00,36.00,34.00,71.00,71.00,..,..,..,..,..,..,..,24.00,23.12,29.21,24.50,23.51,..,..,..,..,..,..,..,1/ Source: Survey of  hotels and similar establishments.
,,Average length of stay,Average length of stay,Average length of stay,Nights,1/,..,..,..,..,..,..,..,..,..,3.00,7.00,..,8.00,6.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,..,..,..,..,..,1/ Source: Survey of  hotels and similar establishments.
GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Inbound tourism in  hotels and similar establishments.
,,Number of establishments,Number of establishments,Number of establishments,Units,,38229,38596,38998,38977,38731,38611,38548,38249,37635,36997,36678,36289,36028,35984,35982,36056,35766,34696,34116,33512,33084,32433,32198,31842,31615,30315,29533,1/ Inbound tourism in  hotels and similar establishments.
,,Number of rooms,Number of rooms,Number of rooms,Units,,775990,798894,822547,833375,868728,877070,884534,891879,892302,889297,890153,896980,899068,915577,926610,940484,952330,948825,950216,949900,953889,953110,963690,976515,993298,945973,953152,1/ Inbound tourism in  hotels and similar establishments.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,1484275,1527426,1565850,1590861,1633681,1649218,1659695,1671117,1672151,1667919,1678284,1690932,1703286,1737890,1812964,1784161,1813153,1817567,1827060,1832167,1908880,1909656,1925910,1911311,1959076,1877701,1901110,1/ Inbound tourism in  hotels and similar establishments.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.10,57.90,59.10,60.20,61.80,62.10,62.70,63.00,37.80,38.80,1/ Inbound tourism in  hotels and similar establishments.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,33.90,32.70,32.20,32.30,33.40,35.00,34.70,33.20,33.50,34.20,35.00,35.90,36.70,36.50,36.05,37.27,38.60,39.90,40.67,41.94,43.11,44.01,44.94,45.44,45.90,29.11,29.45,1/ Inbound tourism in  hotels and similar establishments.
,,Average length of stay,Average length of stay,Average length of stay,Nights,1/,2.39,2.17,2.15,2.12,2.13,2.32,2.33,2.31,2.29,2.25,2.22,2.19,2.18,2.17,2.17,2.14,2.12,2.13,2.12,2.12,2.10,2.10,2.10,2.10,2.10,2.30,2.40,1/ Inbound tourism in  hotels and similar establishments.
GHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,751,730,834,992,1053,1169,1250,1315,1345,1428,1432,1595,1775,1797,2135,..,2228,2578,2724,2928,3246,3454,4131,3538,3919,
,,Number of rooms,Number of rooms,Number of rooms,Units,,8518,10263,10921,10879,11384,13641,15453,16180,17352,18079,18752,22835,20788,24410,26047,28058,..,..,..,..,44754,47331,50696,53102,55039,55559,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,11938,13791,14164,14299,16184,17558,19648,21442,22909,23538,23924,27839,26057,29645,31702,34288,..,..,..,..,49216,51777,54604,57415,60851,58790,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,83.73,78.90,74.30,68.65,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,70.00,69.00,71.00,67.50,..,..,..,..,..,..,75.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.00,15.00,10.00,12.00,14.00,
GREECE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Source: Hellenic  Chamber of Hotels.
,,Number of establishments,Number of establishments,Number of establishments,Units,,7387,7477,7594,7785,7856,8073,8285,8527,8689,8899,9036,9111,9207,9385,9559,9732,9648,9670,9677,9745,9757,9730,9783,9873,9971,10052,10098,1/ Source: Hellenic  Chamber of Hotels.
,,Number of rooms,Number of rooms,Number of rooms,Units,,281636,289446,296096,304232,307814,312993,320467,330348,339540,351891,358721,364179,367992,375067,383008,397660,397322,400433,401196,404779,406200,407146,414127,425973,433689,438294,441536,1/ Source: Hellenic  Chamber of Hotels.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,533812,548785,561068,576876,583814,593990,608104,626914,644898,668271,682050,693252,700933,715857,732279,763407,763668,771271,773445,780721,784315,788553,806045,835773,856347,869250,879255,1/ Source: Hellenic  Chamber of Hotels.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Source: Hellenic  Chamber of Hotels.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,56.62,54.37,58.37,61.12,63.46,64.97,63.40,61.80,60.70,55.60,58.60,59.80,57.00,56.70,51.10,48.10,48.30,43.20,45.20,47.30,49.10,50.10,51.90,50.60,48.70,29.60,42.90,1/ Source: Hellenic  Chamber of Hotels.
,,Average length of stay,Average length of stay,Average length of stay,Nights,,4.51,4.43,4.43,4.01,4.27,4.47,4.40,4.41,4.37,4.34,4.13,4.15,4.08,4.10,4.05,4.11,4.23,4.35,4.43,4.44,4.39,4.40,4.37,4.26,4.20,4.77,4.70,1/ Source: Hellenic  Chamber of Hotels.
GRENADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Hotels,  cottages/apartments and guest houses."
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,75,78,70,81,86,86,79,84,83,82,85,90,95,93,91,95,119,"1/ Hotels,  cottages/apartments and guest houses."
,,Number of rooms,Number of rooms,Number of rooms,Units,1/,1652,1669,1775,1802,1800,1822,1734,1777,1758,1738,1470,1584,1628,1833,1937,1937,1889,1889,1967,1968,2017,2095,2163,2242,2081,2430,2524,"1/ Hotels,  cottages/apartments and guest houses."
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,1/,2936,2964,3118,2995,3274,3091,3142,3590,3844,3892,2326,3139,2548,2617,3386,3386,2879,2879,2968,2992,3061,3139,3157,3239,2873,3303,3336,"1/ Hotels,  cottages/apartments and guest houses."
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.96,56.57,63.92,65.18,27.31,34.07,"1/ Hotels,  cottages/apartments and guest houses."
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,65.87,59.33,62.10,62.31,64.77,71.00,38.18,71.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1/ Hotels,  cottages/apartments and guest houses."
,,Average length of stay,Average length of stay,Average length of stay,Nights,,7.40,7.54,7.40,7.36,7.32,7.20,7.23,7.32,7.65,7.53,7.42,7.63,8.70,8.44,8.52,8.50,8.21,9.13,9.30,8.92,8.81,8.99,9.10,9.12,9.06,9.31,12.65,"1/ Hotels,  cottages/apartments and guest houses."
GUADELOUPE,GUADELOUPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotels.
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,178,168,163,162,162,160,157,86,67,..,..,75,..,..,75,..,41,40,40,..,..,..,..,..,..,1/ Hotels.
,,Number of rooms,Number of rooms,Number of rooms,Units,,7917,8294,8530,8371,8260,8136,8019,7433,7603,4416,3506,..,..,4542,..,..,..,..,2826,..,2549,3236,..,..,..,..,..,1/ Hotels.
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,7012,..,..,..,..,..,8870,..,7050,..,..,..,..,..,..,..,..,1/ Hotels.
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,67.28,68.91,69.75,65.25,66.25,56.90,60.07,54.80,49.20,53.00,..,52.00,58.60,56.70,49.70,54.20,58.00,56.60,57.60,..,..,..,..,..,..,..,..,1/ Hotels.
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1/ Hotels.
,,Average length of stay,Average length of stay,Average length of stay,Nights,,6.06,5.96,5.74,6.06,5.80,5.20,5.30,..,3.50,3.90,3.50,3.90,3.50,3.20,3.30,3.30,3.40,3.40,3.00,..,..,..,..,..,..,..,..,1/ Hotels.
GUAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
