0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,71,72,72,73,73,..,..,..,..,..,..,..,..,..,..,20,..,26,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,..,..,143,143,143,243,243,257,..,..,..,..,..,..,..,..,..,266,..,279,..,..,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,222,222,222,341,341,..,..,..,..,..,..,..,..,..,..,..,..,395,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,275,294,294,258,267,270,260,258,253,249,243,241,239,235,235,239,230,225,216,
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,..,..,..,..,..,13722,13952,14096,12677,12882,13011,12613,12664,12608,12506,12391,12339,12134,11910,11934,11998,11725,11547,11335,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,34522,38310,38957,31515,32586,34514,33700,33788,33446,34271,34062,34019,33613,32963,33099,32903,32296,31517,31211,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,2.77,2.93,2.85,2.87,2.68,2.62,2.69,2.70,2.87,2.90,2.60,2.90,2.91,2.97,2.99,2.87,3.05,2.94,2.91,2.88,2.88,3.10,2.59,
ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,50,77,81,87,136,148,161,178,183,196,220,233,238,235,235,229,
,,Number of rooms,Number of rooms,Number of rooms,Units,,4943,4943,6157,6157,6832,6832,7897,8262,9244,9358,9593,2699,..,..,..,..,..,..,9156,10626,11172,12950,13344,13427,14323,14323,14037,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,6783,6783,9014,9014,9119,9119,14060,14893,10612,10736,10723,7242,..,..,..,..,..,..,19121,14617,15035,16411,16879,17023,17902,17902,16112,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,87.00,92.00,89.00,83.00,89.00,73.00,83.00,86.00,85.80,88.30,78.10,62.80,61.10,54.80,27.40,25.66,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,33.00,44.00,45.00,92.00,68.00,46.00,71.00,79.00,82.00,96.00,97.60,84.00,79.00,77.00,75.00,78.60,67.00,75.00,79.00,78.70,80.90,74.40,54.40,52.30,44.30,22.15,19.94,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,4.00,4.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,59,55,55,55,57,54,53,56,50,50,50,50,49,46,46,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,951,866,915,1045,1120,1067,1069,1037,759,756,746,739,720,602,547,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,..,..,..,..,49.40,48.80,43.95,45.50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANTIGUA  AND BARBUDA,ANTIGUA  AND BARBUDA,ANTIGUA  AND BARBUDA,ANTIGUA  AND BARBUDA,ANTIGUA  AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of rooms,Number of rooms,Number of rooms,Units,,3317,3185,3185,3185,3185,..,..,..,..,3276,..,..,4157,4673,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,..,..,..,..,..,..,..,..,..,..,6075,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,,..,..,..,..,..,..,..,..,..,..,..,..,66.10,63.10,58.00,55.70,57.50,58.30,58.10,58.70,57.40,58.40,60.90,..,..,..,..,
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,,..,81.40,..,..,..,..,..,..,..,..,..,..,..,65.97,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Average length of stay,Average length of stay,Average length of stay,Nights,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Hotel Occupancy  Survey (EOH).
,,Number of establishments,Number of establishments,Number of establishments,Units,,..,..,..,6767,6970,7309,7773,7729,8038,8715,9466,10152,10751,11377,12124,12662,13398,13526,14907,15591,15754,15195,15615,15717,15934,15787,15894,1/ Hotel Occupancy  Survey (EOH).
,,Number of rooms,Number of rooms,Number of rooms,Units,,..,..,..,165283,166638,167303,169236,168871,174190,179614,189207,195465,202495,211190,219904,226789,233520,236641,252671,258129,261004,259453,264741,268199,271577,270709,270374,1/ Hotel Occupancy  Survey (EOH).
,,Number of bed-places,Number of bed-places,Number of bed-places,Units,,..,..,..,376823,386826,409241,420447,418522,434421,457470,480382,496171,517852,540468,562456,578697,603473,611439,667608,683454,691272,688059,703207,711101,724841,722456,720912,1/ Hotel Occupancy  Survey (EOH).
,,Occupancy rate / rooms,Occupancy rate / rooms,Occupancy rate / rooms,Percent,1/,..,..,..,..,..,..,..,..,..,..,41.92,44.94,45.86,43.27,36.90,41.76,43.37,41.04,41.55,42.64,42.77,42.01,44.14,44.81,45.18,36.93,33.46,1/ Hotel Occupancy  Survey (EOH).
,,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Occupancy rate /  bed-places,Percent,1/,..,..,..,..,..,..,..,..,..,..,32.55,35.07,42.35,33.66,28.93,32.73,34.03,32.30,32.34,33.46,33.51,32.68,34.55,35.04,35.40,30.82,27.36,1/ Hotel Occupancy  Survey (EOH).
,,Average length of stay,Average length of stay,Average length of stay,Nights,1/,..,..,..,..,..,..,..,..,..,..,2.40,..,2.35,2.34,2.29,2.38,2.35,2.37,2.36,2.40,2.39,2.37,2.30,2.35,2.33,2.73,2.53,1/ Hotel Occupancy  Survey (EOH).
ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,Accommodation for  visitors in hotels and similar establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
